src/cli/commands/swarm.ts(233,20): error TS2339: Property 'shutdown' does not exist on type 'SwarmMemory'.
src/swarm/json-output-aggregator.ts(252,25): error TS2532: Object is possibly 'undefined'.
src/swarm/memory.ts(863,7): error TS7053: Element implicitly has an 'any' type because expression of type 'string' can't be used to index type 'Record<MemoryType, number>'.
src/swarm/memory.ts(1332,25): error TS2345: Argument of type 'string | undefined' is not assignable to parameter of type 'string'.
src/swarm/optimizations/async-file-manager.ts(57,5): error TS2322: Type 'void | { path: string; operation: "write"; success: true; duration: number; size: number; error?: undefined; } | { path: string; operation: "write"; success: false; duration: number; error: Error; size?: undefined; }' is not assignable to type 'FileOperationResult'.
src/swarm/optimizations/async-file-manager.ts(99,5): error TS2322: Type 'void | { path: string; operation: "read"; success: true; duration: number; size: number; data: string; error?: undefined; } | { path: string; operation: "read"; success: false; duration: number; error: Error; size?: undefined; data?: undefined; }' is not assignable to type 'FileOperationResult & { data?: string | undefined; }'.
src/swarm/optimizations/async-file-manager.ts(160,5): error TS2322: Type 'void | { path: string; operation: "delete"; success: true; duration: number; error?: undefined; } | { path: string; operation: "delete"; success: false; duration: number; error: Error; }' is not assignable to type 'FileOperationResult'.
src/swarm/optimizations/async-file-manager.ts(234,5): error TS2322: Type 'void | { path: string; operation: "write"; success: true; duration: number; size: number; error?: undefined; } | { path: string; operation: "write"; success: false; duration: number; error: Error; size?: undefined; }' is not assignable to type 'FileOperationResult'.
src/swarm/optimizations/index.ts(26,30): error TS2304: Cannot find name 'ClaudeConnectionPool'.
src/swarm/optimizations/index.ts(27,27): error TS2304: Cannot find name 'AsyncFileManager'.
src/swarm/optimizations/index.ts(28,24): error TS2304: Cannot find name 'OptimizedExecutor'.
src/swarm/optimizations/optimized-executor.ts(238,11): error TS2322: Type 'TaskId' is not assignable to type 'string'.
src/swarm/optimizations/optimized-executor.ts(257,11): error TS2322: Type 'TaskId' is not assignable to type 'string'.
src/swarm/optimizations/optimized-executor.ts(266,38): error TS2345: Argument of type 'TaskId' is not assignable to parameter of type 'string'.
src/swarm/optimizations/optimized-executor.ts(270,5): error TS2322: Type 'void | TaskResult' is not assignable to type 'TaskResult'.
src/swarm/optimizations/optimized-executor.ts(305,46): error TS7006: Parameter 'r' implicitly has an 'any' type.
src/swarm/optimizations/optimized-executor.ts(313,43): error TS7006: Parameter 't' implicitly has an 'any' type.
src/swarm/prompt-cli.ts(72,19): error TS2339: Property 'progressCallback' does not exist on type '{ backup: boolean; verify: boolean; parallel: boolean; maxWorkers: number; conflictResolution: "backup" | "merge" | "overwrite" | "skip"; includePatterns: string[]; excludePatterns: string[]; source: any; destination: any; } | { ...; }'.
src/swarm/prompt-cli.ts(72,39): error TS7006: Parameter 'progress' implicitly has an 'any' type.
src/swarm/prompt-copier-enhanced.ts(18,14): error TS2415: Class 'EnhancedPromptCopier' incorrectly extends base class 'PromptCopier'.
src/swarm/sparc-executor.ts(30,11): error TS2564: Property 'phases' has no initializer and is not definitely assigned in the constructor.
src/swarm/sparc-executor.ts(99,7): error TS2739: Type '{ output: any; artifacts: any; metadata: { agentId: string; agentType: AgentType; executionTime: number; targetDir: string | undefined; sparcPhase: any; quality: any; }; quality: any; ... 4 more ...; validated: true; }' is missing the following properties from type 'TaskResult': taskId, agentId, success, timestamp
src/swarm/sparc-executor.ts(462,12): error TS7053: Element implicitly has an 'any' type because expression of type 'string' can't be used to index type '{ 'rest-api': { id: string; story: string; priority: string; }[]; 'python-web': { id: string; story: string; priority: string; }[]; 'data-pipeline': { id: string; story: string; priority: string; }[]; }'.
src/swarm/sparc-executor.ts(481,12): error TS7053: Element implicitly has an 'any' type because expression of type 'string' can't be used to index type '{ 'rest-api': { endpoints: string[]; performance: string[]; security: string[]; }; 'python-web': { functionality: string[]; usability: string[]; compatibility: string[]; }; }'.
src/swarm/sparc-executor.ts(566,12): error TS7053: Element implicitly has an 'any' type because expression of type 'string' can't be used to index type '{ python: string; javascript: string; typescript: string; java: string; }'.
src/swarm/sparc-executor.ts(581,12): error TS7053: Element implicitly has an 'any' type because expression of type '`${string}-${string}`' can't be used to index type '{ 'python-rest-api': { directories: string[]; files: string[]; }; 'javascript-rest-api': { directories: string[]; files: string[]; }; }'.
src/swarm/sparc-executor.ts(607,23): error TS7053: Element implicitly has an 'any' type because expression of type 'string' can't be used to index type '{ python: string; javascript: string; typescript: string; java: string; }'.
src/swarm/sparc-executor.ts(637,12): error TS7053: Element implicitly has an 'any' type because expression of type 'string' can't be used to index type '{ 'rest-api': string[]; 'data-pipeline': string[]; 'ml-app': string[]; }'.
src/swarm/sparc-executor.ts(668,12): error TS7053: Element implicitly has an 'any' type because expression of type 'string' can't be used to index type '{ 'rest-api': string[]; 'data-pipeline': string[]; }'.
src/swarm/strategies/auto.ts(491,5): error TS2741: Property 'objective' is missing in type '{ id: TaskId; type: TaskType; name: string; description: string; instructions: string; requirements: { capabilities: string[]; tools: string[]; permissions: string[]; }; constraints: { ...; }; ... 8 more ...; statusHistory: { ...; }[]; }' but required in type 'TaskDefinition'.
src/swarm/strategies/research.ts(839,5): error TS2741: Property 'objective' is missing in type '{ id: TaskId; type: TaskType; name: string; description: string; instructions: string; requirements: { capabilities: any; tools: string[]; permissions: string[]; }; constraints: { ...; }; ... 8 more ...; statusHistory: { ...; }[]; }' but required in type 'TaskDefinition'.
